t,dataset 1,dataset 2,dataset 3,dataset 4,dataset 5,dataset 6
2500,52.21580009,80.65447794,48.49611604,49.76223474,50.93424193,52.57291884
2600,52.39660938,83.31908334,48.53659911,49.90603309,51.01047607,52.78286902
2700,52.58450922,86.08818307,48.57866975,50.0554706,51.08969979,53.00105254
2800,52.77949963,88.96177712,48.62232796,50.21054725,51.17191308,53.2274694
2900,52.9815806,91.93986551,48.66757375,50.37126306,51.25711594,53.46211959
3000,53.19075213,95.02244823,48.7144071,50.53761802,51.34530838,53.70500313
3100,53.40701422,98.20952528,48.76282803,50.70961213,51.43649039,53.95612001
3200,53.63036687,101.5010967,48.81283653,50.88724539,51.53066198,54.21547023
3300,53.86081007,104.8971624,48.86443259,51.0705178,51.62782314,54.48305379
3400,54.09834384,108.3977224,48.91761623,51.25942937,51.72797387,54.75887069
3500,54.34296817,112.0027768,48.97238744,51.45398008,51.83111418,55.04292093
3600,54.59468306,115.7123254,49.02874623,51.65416995,51.93724406,55.33520451
3700,54.85348851,119.5263685,49.08669258,51.85999897,52.04636352,55.63572143
3800,55.11938452,,49.14622651,52.07146713,52.15847255,55.94447169
3900,55.3923711,,49.207348,52.28857445,52.27357116,56.26145529
4000,55.67244823,,49.27005707,52.51132092,52.39165934,56.58667224
4100,55.95961592,,49.33435371,52.73970655,52.51273709,56.92012252
4200,56.25387417,,49.40023792,52.97373132,52.63680442,57.26180614
4300,56.55522298,,49.4677097,53.21339524,52.76386132,57.6117231
4400,56.86366235,,49.53676906,53.45869832,52.8939078,57.9698734
4500,57.17919229,,49.60741598,53.70964055,53.02694385,58.33625705
4600,57.50181278,,49.67965048,53.96622192,53.16296947,58.71087403
4700,57.83152383,,49.75347254,54.22844245,53.30198467,59.09372435
4800,58.16832545,,49.82888218,54.49630213,53.44398945,59.48480802
4900,58.51221762,,49.90587939,54.76980096,53.58898379,59.88412502
5000,58.86320035,,49.98446417,55.04893894,53.73696771,60.29167537
5100,59.22127365,,50.06463653,55.33371608,53.88794121,60.70745905
5200,59.5864375,,50.14639645,55.62413236,54.04190428,61.13147608
5300,59.95869192,,50.22974395,55.9201878,54.19885692,61.56372644
5400,60.33803689,,50.31467901,56.22188239,54.35879914,62.00421015
5500,60.72447243,,50.40120165,56.52921612,54.52173093,62.45292719
5600,61.11799852,,50.48931186,56.84218901,54.6876523,62.90987758
5700,61.51861518,,50.57900964,57.16080105,54.85656324,63.37506131
5800,61.9263224,,50.67029499,57.48505224,55.02846376,63.84847837
5900,62.34112017,,50.76316792,57.81494259,55.20335384,64.33012878
6000,62.76300851,,50.85762841,58.15047208,55.38123351,64.82001253
6100,63.19198741,,50.95367648,58.49164073,55.56210275,65.31812962
6200,63.62805687,,51.05131211,58.83844852,55.74596156,65.82448005
6300,64.07121688,,51.15053532,59.19089547,55.93280994,66.33906381
6400,64.52146746,,51.2513461,59.54898157,56.1226479,66.86188092
6500,64.9788086,,51.35374445,59.91270682,56.31547544,67.39293137
6600,65.4432403,,51.45773038,60.28207122,56.51129254,67.93221516
6700,65.91476256,,51.56330387,60.65707477,56.71009923,68.47973229
6800,66.39337538,,51.67046494,61.03771747,56.91189548,69.03548276
6900,66.87907876,,51.77921357,61.42399933,57.11668131,69.59946657
7000,67.3718727,,51.88954978,61.81592033,57.32445672,70.17168372
7100,67.8717572,,52.00147356,62.21348049,57.5352217,70.75213421
7200,68.37873226,,52.11498491,62.6166798,57.74897625,71.34081804
7300,68.89279788,,52.23008383,63.02551825,57.96572038,71.93773521
7400,69.41395406,,52.34677033,63.43999586,58.18545408,72.54288572
7500,69.9422008,,52.46504439,63.86011263,58.40817736,73.15626958
7600,70.4775381,,52.58490603,64.28586854,58.63389021,73.77788677
7700,71.01996596,,52.70635523,64.7172636,58.86259263,74.4077373
7800,71.56948438,,52.82939201,65.15429782,59.09428463,75.04582117
7900,72.12609337,,52.95401636,65.59697118,59.3289662,75.69213839
8000,72.68979291,,53.08022828,66.0452837,59.56663735,76.34668894
8100,73.26058301,,53.20802778,66.49923537,59.80729807,77.00947283
8200,73.83846367,,53.33741484,66.95882619,60.05094836,77.68049007
8300,74.4234349,,53.46838948,67.42405616,60.29758823,78.35974064
8400,75.01549668,,53.60095168,67.89492528,60.54721768,79.04722456
8500,75.61464903,,53.73510146,68.37143355,60.79983669,79.74294181
8600,76.22089193,,53.87083881,68.85358097,61.05544528,80.44689241
8700,76.83422539,,54.00816373,69.34136755,61.31404345,81.15907634
8800,77.45464942,,54.14707622,69.83479328,61.57563119,81.87949362
8900,78.082164,,54.28757629,70.33385815,61.8402085,82.60814423
9000,78.71676915,,54.42966392,70.83856218,62.10777539,83.34502819
9100,79.35846485,,54.57333913,71.34890536,62.37833186,84.09014549
9200,80.00725112,,54.71860191,71.86488769,62.65187789,84.84349612
9300,80.66312795,,54.86545225,72.38650917,62.9284135,85.6050801
9400,81.32609533,,55.01389017,72.91376981,63.20793869,86.37489742
9500,81.99615328,,55.16391567,73.44666959,63.49045345,87.15294808
9600,82.67330179,,55.31552873,73.98520853,63.77595778,87.93923207
9700,83.35754085,,55.46872936,74.52938661,64.06445169,88.73374941
9800,84.04887048,,55.62351757,75.07920385,64.35593517,89.53650009
9900,84.74729067,,55.77989335,75.63466024,64.65040823,90.34748411
10000,85.45280142,,55.93785669,76.19575578,64.94787086,91.16670147
10100,86.16540273,,56.09740761,76.76249047,65.24832306,91.99415217
10200,86.8850946,,56.2585461,77.33486431,65.55176484,92.82983621
10300,87.61187703,,56.42127217,77.91287731,65.85819619,93.67375359
10400,88.34575001,,56.5855858,78.49652945,66.16761712,94.52590431
10500,89.08671356,,56.751487,79.08582075,66.48002762,95.38628837
10600,89.83476767,,56.91897578,79.68075119,66.79542769,96.25490577
10700,90.58991234,,57.08805213,80.28132079,67.11381734,97.13175651
10800,91.35214757,,57.25871605,80.88752954,67.43519657,98.01684059
10900,92.12147337,,57.43096754,81.49937744,67.75956536,98.91015802
11000,92.89788972,,57.6048066,82.11686449,68.08692373,99.81170878
11100,93.68139663,,57.78023323,82.7399907,68.41727168,100.7214929
11200,94.4719941,,57.95724744,83.36875605,68.7506092,101.6395103
11300,95.26968213,,58.13584921,84.00316055,69.0869363,102.5657611
11400,96.07446072,,58.31603856,84.64320421,69.42625296,103.5002452
11500,96.88632988,,58.49781548,85.28888702,69.76855921,104.4429627
